Condition,Model,n_train,n_test,Chance AUPRC,Chance AUROC,AUROC median,AUROC mean,AUROC std,AUPRC median,AUPRC mean,AUPRC std,Seeds
"Single patient (c55f8, train=21, test=14)",LSTM-VAE,21,14,0.2143,0.5,0.4848,0.4909,0.0353,0.25,0.2542,0.016,10
"Single patient (c55f8, train=21, test=14)",OmniAnomaly,21,14,0.2143,0.5,0.5758,0.5758,0.0192,0.2944,0.2933,0.0089,10
"Single patient (c55f8, train=21, test=14)",T-VAE,21,14,0.2143,0.5,0.5152,0.5121,0.0286,0.2611,0.2607,0.0118,10
"Pooled (7 patients, train=131, test=64, 16f4b held out)",LSTM-VAE,131,64,0.0625,0.5,0.5833,0.5858,0.0112,0.0971,0.097,0.0033,10
"Pooled (7 patients, train=131, test=64, 16f4b held out)",OmniAnomaly,131,64,0.0625,0.5,0.6208,0.6337,0.0229,0.1136,0.1187,0.0136,10
"Pooled (7 patients, train=131, test=64, 16f4b held out)",T-VAE,131,64,0.0625,0.5,0.5958,0.5979,0.012,0.1014,0.1012,0.0022,10
"Single patient (c55f8, train=21, test=14)",IsolationForest,21,14,0.2143,0.5,0.4545,0.4545,0.1014,0.3269,0.3484,0.1042,10
"Pooled (7 patients, train=131, test=64, 16f4b held out)",IsolationForest,131,64,0.0625,0.5,0.4896,0.4925,0.0835,0.1263,0.1462,0.071,10
"Single patient (c55f8, train=21, test=14)",PCA,21,14,0.2143,0.5,0.4242,0.4242,0.0,0.2407,0.2407,0.0,1
"Pooled (7 patients, train=131, test=64, 16f4b held out)",PCA,131,64,0.0625,0.5,0.6792,0.6792,0.0,0.3363,0.3363,0.0,1
