Feature,PCA_importance,T-VAE_importance
phys_heart_rate,0.09545158080272846,0.35891972923756893
act_kitchen,0.04483812301748229,0.03543147768481198
sleep_rem,0.0433467148453131,0.0321266310485462
sleep_light,0.04073985131724481,0.04740523970526103
phys_diastolic_blood_pressure,0.040613532219887165,0.18254506524428443
act_fridge_door,0.03878133670587018,0.018560060597731562
sleep_deep,0.03619783308116837,0.03291717425442952
sleep_rr,0.03514558779553485,0.05639267207364371
act_back_door,0.034875724760081134,0.0
phys_o/e_-_muscle_mass,0.03337354355395973,0.012438382828069607
phys_skin_temperature,0.028399507391549658,0.009438076844659872
act_front_door,0.026945890038362483,0.042247462935745085
act_bathroom,0.017739528142773256,0.08814662679144626
act_lounge,0.01652495479087792,0.09630125416688454
phys_body_temperature,0.014018219535484669,0.009706295746257466
sleep_hr,0.012337100880623331,0.04872836589836386
sleep_awake,0.010233172524154463,0.02577372634262217
phys_total_body_water,0.009574887351392976,0.025203258383868013
phys_systolic_blood_pressure,0.0072922710223930235,0.03030933770762023
phys_body_weight,0.006761562655112526,0.0109925801648998
act_hallway,0.0053746653857026615,0.018326180196206972
act_bedroom,0.002890577749880599,0.019386902491945364
